title,link,date,publisher,image
Trump staff ‘furious’ after Musk trashes AI project,https://news.google.com/read/CBMigAFBVV95cUxORURWMjY5M0hZM083S0dScTJDdHI2M2lsb3hrLW4tOHd1SDlLakZVT25VSDU4QU1nT09xYVlicV9NMWFiYl9jbzNEaW1aeTNKc19zUzM4V2xfbWlodENzenlTUURRYV9DeWMtWjZJdFlVUHBCdDdkY0U0d3JYMzVieA?hl=en-US&gl=US&ceid=US%3Aen,Yesterday,CNN,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.cnn.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Trump shrugs off Elon Musk’s criticism of AI announcement: ‘He hates one of the people’,https://news.google.com/read/CBMiggFBVV95cUxQeTZDLXJtQ281cnF6c01KVXVnZC0wV2FtRm5YOHRBQllCbXI3Zk9QcGNMbF95YjBzSnhHZUtuN1pIT19IS1JZdUNLU3NJX2FpTDFqQ3M0ZGlkQXFOMjdHUWFTLUVuLWhYYVFoMDBNWUt6aUR0QlRPRTNsdmNiQ2JvOUV3?hl=en-US&gl=US&ceid=US%3Aen,Yesterday,The Associated Press,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://apnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Trump signs executive order on developing artificial intelligence ‘free from ideological bias’,https://news.google.com/read/CBMirAFBVV95cUxPX0VTMzBIVzhXdlRFcEx4T0dpNkFKek1SNUpYeHF4cVpTUFp4UEh3SkJLc28wN1hZUjJCaUlvZC1UXy1RSHpQeHZhejRTc080TlBSbGJFN3hPWnR0bDJiSWRhSlZYbUNoYXVIUDJsZkRHQnRCZzFUaDRsVUNQUzFfYzNpdEZrbW1qcnp2NlREQko2RENHY1lTVU1hcERVYmRyRm5hTUdCT3hScF9p?hl=en-US&gl=US&ceid=US%3Aen,Yesterday,The Economist,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.economist.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
"Chinese AI is catching up, posing a dilemma for Donald Trump",https://news.google.com/read/CBMipwFBVV95cUxNNlFLNEZyUVRJTXRITmZEOHlBNEJtZHlma1Y5Q0JHcVNCMDdBZFdfdktuR0ZnMUZ1eEtvMHVaQ2x6OS1HQ082REVXWXJzaVJIcThLdFh3MXpUY1NIcUJXYlpwV3lCdS1wNXBzb2pMQnBHQ3RxVWRqOEQ3bmVKSkNKQ1dWeWJzOFJ2RFBuTVFaRGlHSnd6dmRJdTBBV1dqVnc3VFp0NXlzMA?hl=en-US&gl=US&ceid=US%3Aen,2 days ago,CNBC,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.cnbc.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
"These are the 2 stocks that will win the most from Trump's AI project Stargate, analysts say",https://news.google.com/read/CBMipAFBVV95cUxOMlZyWkNDVmlFZkFFM3hzTjVpRUdrS1doNzBVS3BUaU1XeUx0RGJINmNRc1hzTzNHdmI1WTRVZ1gxU2o3TGJJdWp0S1duaWxTNDMyWUx2U3VyUk5FVmp4LWpfMXU2eEtET1BTU252VDFwVk81X29SRGt1dDFza2tfak0tR3BkVElOSzU3V1NobzlnbXNfclp4NkdReklhbEtna2V3aA?hl=en-US&gl=US&ceid=US%3Aen,Yesterday,The Hill,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://thehill.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Trump says he will use energy emergency declaration to approve more power for AI,https://news.google.com/read/CBMiqgFBVV95cUxPSTFRZDlpRzJkV01XSEgtRXNrNFpUSVRTWVpxaExIeGJraEJqaWJrVjBSNlJEdXRtVk5xdjhkTzBfNC1CYlNQdnJHUXg5Y0FnTVRhRlR4OXhualhsOGExQkFlVVRQUDdVYWVxc2FHMFgyMEpkMlhOaG5ZLXByYUdTcHFLbl9Ma0ZHWUJ0X1ZGcThySkg0a05ERXdVM092MDNUUWk1RV8wdFdmd9IBrwFBVV95cUxOcldFaUt0bUcxMVJXNVJxOTAxczlqcXdzc1JYVGZ5VHVZTDd2VzQ3OG1mR1BRb1dKdDFhWV9MZXl2MGJ4em8wMUN6ZGVtTXMxRm1yMkl5bWV0QmFGSi1fU0FHTXU3ZDlNUy1kNnRiNUdzV2ZKNGdSbEI0QVpwdnU1NzhsajE0WlFDc1JldzhSTUVzZTlkd1ZGYm5pT193TFJ2clZkYjRfM2wyeFlIUXhV?hl=en-US&gl=US&ceid=US%3Aen,Yesterday,Fortune,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://fortune.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Elon Musk bashes Trump-backed $500 billion AI mega project,https://news.google.com/read/CBMitgFBVV95cUxNclRYVUFaMkFCNlhoRmtNZ1JpRU15OGIxaFlzdy1ZNzE1blJESmJTOHM2d1VRWFVBaVI5N2tmd0Z0R3REVFlWQUp0NEotc0MycmIzbmU2S0xlTGdjZ1RVRHZLMW9NRWVCREozN0tEdUdRcG4wSTdRYkFtaS1UXzZfRGZnRVZ4RDhUd0lpcERfRG9ZX0RpQnB1dlZnZnBBcldJM2d2X2J2M1B0TlZDQjJNcUlUNWFsZw?hl=en-US&gl=US&ceid=US%3Aen,Yesterday,Fox News,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.foxnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Trump's AI 'declaration' reminiscent of JFK pledge to put a man on the moon: Former White House IT official,https://news.google.com/read/CBMitgFBVV95cUxQaFhaSkY3aXdkWjdMeF9DV0xUMmRjQ0dfWjRweXFINlNTTW04akN1cmRRV0lpMWM4MWh1bVRxVE5UVl9zOVdWX2lnbXVoeHFaalloYTZ1LXJmQUxuVXhMVjd2MEtld1d2RUpUSGM1WGxWcU05TFRobFJGNWVGSGlzU0gxZVR2YjctbFF6T1Q0T1JGSlVMT3IxejNkOWF5d0ZEUEktTG5XdXd3Q1prX0xmTEtzd1FZQdIBuwFBVV95cUxORFU1RDhlbU4tX21YOVhmQ2l3RDZpcWtLQ2FXaTZEcmh1YVJoaXBycTFNY2x4enpYR2RKWUNiaGVGbVhjZGZtcEs3NzV2c3RMVy1wX0xmbnB1dUxEVDRvTEFZb2ZINzMzWURUQ0NTdnVsX3RLbG5tbGZPUUtNQmRyOTMyOFJlY2c1VGVRVFFmcG1CczVBcmN1UUdDTUhHTDJ3Q2d1VHlETTBPdjlFMHY4OThqYl9oV1E2NFpZ?hl=en-US&gl=US&ceid=US%3Aen,22 hours ago,CBS News,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.cbsnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
"What is Stargate, Trump's ambitious AI infrastructure venture?",https://news.google.com/read/CBMigAFBVV95cUxNVlRITDFHd3FseHQ3d2lTU243cDNxTVoxMFc2QkpGbERmN2k5MWdXcnY3OGZ3bmV0ekdYZGRiemQycXlwczUzVXZuTmhJbGJJTVhrWTNzY0F3dG5LRjR5QzYwaENINjcwRERqaVZnalA2bnVLdkh1NkFFd1NPVlRyN9IBhgFBVV95cUxOM2FqWTgwZW5kQ3A2dTY3TWNyTlFic1ZxekNaVzd6ZDhqUmlLNU5pcmxoYjlHeXBsZDdRMGw1ZzFTZ2ZaOG9uN3hkVUdsYzdwc09mRENlNF9qSXpuNWtZbUJULVJOVUozVzZJcjdvQ3MzLTRVM1NVRWhMaUVwbUVlNTNFYzZjdw?hl=en-US&gl=US&ceid=US%3Aen,2 days ago,Axios,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.axios.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Musk vs. Altman (and Trump): Anatomy of a feud,https://news.google.com/read/CBMidEFVX3lxTE01WEljYVlCcVBVVUQ3V0hlSXpHcFpuQ0pDMXpJdTRDRHY1eVFiQVZ1WWdTUGVVd3RNTjQwTmxJQUFCNGVlWGlUWW9fTEoybV9XYUtuMk0tdmcwcVV6a0Q2TEVKYVJWbldLU2NVYXRrbDF0N3VN?hl=en-US&gl=US&ceid=US%3Aen,11 hours ago,ABC News,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://abcnews.go.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Trump 2nd term live updates: Senate to vote on Kristi Noem as DHS secretary Saturday,https://news.google.com/read/CBMirgFBVV95cUxQVE4ySXd0M1hjNjJXRGVYamoyUE1FN2NFeEpiMkZWTzE5QjBsakE1QWF2ZXRiZl8xQVNVd2FkbVFiTnFJM2VpSFRoOW5feXBNa0w2SVAtSlFTck1POTRXd09mNTM2alRsQmZKaU5WdFk0LTRYNXpzX3BxTnlzU1pMTnNLM3k0UFMwcERoc2YzS2NILXIxWHBtLTZpdDNxdFpBMVJSd1NFWF92SGlzS2fSAbMBQVVfeXFMTVd6WWwxcTVkYlQydkhYaWhfNkk1aWFwRDlkWnAzaDNWdW1xdG9hUDBqdFdrUWw1YzlfV29XMFJudURydlAwMUQ4Rkt2dW0yZzhGZ2w1YXB6M0RlcW9xb2Q2bmM1TDJWcHU4UTlSWGZfZ3JuM0JMZWdOVGJYU1ZFZHcwMWRqLVpBM1VkSU92Y3ZWRk8zZHRJcTlwTzZCUVc5TU5tUjVKdDdIRGNEcDl1WHI0RXM?hl=en-US&gl=US&ceid=US%3Aen,5 hours ago,The Associated Press,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://apnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Trump pumps coal as answer to AI power needs but any boost could be short-lived,https://news.google.com/read/CBMinwFBVV95cUxPdVNMdGNZX3JQWUd1QkNGU29uRmRhb2FZM0RhQUJTLTlEVG5lVGtuVFRjZVd4X3k5Uzd4UXFWQjlTdnJuOVVVbmlXMzN3QmVWWjFqa1ZXdy1xRVlGM1hxTk1oTEg1d05JYWd5SkFzRjVQRnFGXzhGVTF2ajBEcEFEcnlrNlNBLXdPLUQ4TUEzUzkxTV93LWl0Rk1FTVM3aGM?hl=en-US&gl=US&ceid=US%3Aen,9 hours ago,The Darden Report,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://news.darden.virginia.edu&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Trump Backs Bold AI Agenda. What Are the Risks and Rewards?,https://news.google.com/read/CBMipAFBVV95cUxNUHJvaVU0cmhEV1JaeEQ1MGlZQ0x4THYzcEd2Y0JWaTlkQ3gzRTZtV3MxcDc5bkM1a3VfMExQcVVsV19pNWFaV29FdnlJdHhlSVExNEZTYmhlWndNbXVXZ2E3bzN0a0R6cDM2RHlwQ1lxLWRMeU0wREdrVDcxeWVxN1ljUTZ3bGlEQWRDYTR2MWlpYXJvelZKX21JX1huTmUyenk5cQ?hl=en-US&gl=US&ceid=US%3Aen,2 days ago,Utility Dive,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.utilitydive.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Trump plans to use emergency powers to fast-track generation co-located with AI,https://news.google.com/read/CBMiowFBVV95cUxPUmp2QmlYdm1sd0RQcUdXdlV3aWZfQW53Mi1VNHNXQXFoWTBjWTZ4N2ZpVFd5cHp4cl9HSUV0ZTB6T3JzbVdobnh2bFV4NlJhVDE5WUNRUzJsS2Q5WXp4VUFCeUVyWno0VW1PUkE4SmpBVkk1SlJaLU5IQmNXS1BGSFY5WGtqSmlQRy0zUjFWZTdPdnBxOURHMGNpYnhkSjFCcEJN?hl=en-US&gl=US&ceid=US%3Aen,17 hours ago,FedScoop,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://fedscoop.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
"Trump orders review of Biden admin’s AI work, creation of new AI action plan",https://news.google.com/read/CBMinAFBVV95cUxQa0ZfM3VhWnBtODVkUVVGQnJKOGQ2NWNlTkpJbWxhMVo0NmVRNlh2QVMyckNnV0gxZlVKX3JzaDNEQ2ozb1hVVWJIcDh3TGZMc2Vna1dWMlJLOW1JRFpYbzFSRnF0Ym5sdkNYSFAzLXBJMFpsUlo5SkRGdGtKQ2pzTHJUb0FxYnY5NG1LaXpzZWt4R2pMcGEwd1kwZUU?hl=en-US&gl=US&ceid=US%3Aen,Yesterday,Signal Magazine,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.afcea.org&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
President Trump Announces $500 Billion Investment in AI,https://news.google.com/read/CBMijwFBVV95cUxQRUNTQ3k2ZkZrQ29JcnZYWUVLVGZHQU9VdU82ZG5JdW5JeEgwV3A3R1ljZEFhaXlEcnRTYk82aDhObVVGMjdfU2lZUzFjRWJXRlNSU1c2MFNUMGRkRGs2Vk9FOXN3Y0o3NzZlc1NLVzBGQ1hhaEp5QjRLUV8teUx4VmlDd3BnUVpfX2l1NHY0NA?hl=en-US&gl=US&ceid=US%3Aen,3 days ago,STAT,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.statnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
"Trump, and tech tycoons, stoke health AI hype with Stargate",https://news.google.com/read/CBMiqAFBVV95cUxPbFBoalp1cmdfTHd5Rk5LWVpOZ0ZnT25rTVNPa0lQbFdEWWZURkdwdnM0QmpNTW91UlM2ci1XLWlVSVpNLWExWHJmTFgycmFuTkhjU25fLXEwU1hVc2JydXZNS2I3Y1NFcWpZZzhqNkljekE3cFBsd2tfMVU1Y2I3NllPUUN6R0QwLXpBemVYVi1MSU1zSXZUVlJaM1FDeXlCTUczT2xhd2g?hl=en-US&gl=US&ceid=US%3Aen,Yesterday,Reuters,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.reuters.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Trump announces private-sector $500 billion investment in AI infrastructure,https://news.google.com/read/CBMi2AFBVV95cUxNT3kxRHlyZEVhb2QtdWFBZ3h5SXhENG1pbHp1WjlBVXczTFVEUVVXWWhmcGNfTTFZa1JZc2liU0dYOWt6OWZENnRHNG9HdTN3ZkJRMTlZeGo1WGdiWjdEZFNCcGpLYXVKbDRVbjdLbkJsN1hvZlRmTDNyaDhhRWtXbklSTTNfWk9UVUo2aTNBWEk1TENnMGN6aEk5Mk1qa3VDZGVlbldqNUl4UEFvMWRPVjYyUUNYT3g5dTNyby1pdk9YSmlzTC12bWRnR3YxV3pvTmlqWlBTLUU?hl=en-US&gl=US&ceid=US%3Aen,3 days ago,CBS News,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.cbsnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Trump announces up to $500 billion in private sector AI infrastructure investment,https://news.google.com/read/CBMikwFBVV95cUxPN1VhQTBOOHNLaF9rVWRVdG5KRjNzdnZNUU1wd3FZaTlNYkxQU2wycEVRZXNENTVDd2dod3RNV28tZk1sbjY1bGxyVVBFcUpyalotSEk1czloSDZ0Y3pSdEh1VUZDYXl1VWpJTU5Rdy1LQkZGNGhPX3lQNDlUYjdUTnpIb2d3U3lMcW5rclFhYklkVkXSAZgBQVVfeXFMTWZCTzh2eGVwcTZYcURISW9SNkFDbXh5OEZ6cmRYTkVqY2dTa2pwM0wteE5tbTZ1U1BwS2tTcW5PQmxjOEVJZkw5TTNiYjBidTJrMngzT2VqMHFaRUZwc3ZOMXd1MHZXZ2NEYVpnM1FLSE9ac2M3MEU1c1E4SkZRMzJLbHMyd2RpRG1FTzRodnhqa3JpTFU4T2Q?hl=en-US&gl=US&ceid=US%3Aen,2 days ago,Nextgov/FCW,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.nextgov.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Trump signs AI executive order,https://news.google.com/read/CBMimgFBVV95cUxObFdycE14RGs5anBneFMwdGF3bkVDU21MektSODdsQ3VveDlrdzFzSGdJdWR2OF9CT0oza3NyWXY0Ukd3LWVZYl8xa1NjSnpLYXIxUFFDSkRPOTJTRTRzR3dEMF9waTRfTDBxRDRoVGY5b2M2UlR6UU01by02SFNCX2JwdEw3bGlVdTRvOTdfUGpBLTQxYk9DcklR?hl=en-US&gl=US&ceid=US%3Aen,Yesterday,CNN,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.cnn.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Trump announces a $500 billion AI infrastructure investment in the US,https://news.google.com/read/CBMikwFBVV95cUxNcllEYjZmTkNzUGpjenpxZ3N6ZlFOcFAxS2szNm80MWM4dVRSU3YzcGlzU0xrZkI3MEpBR3N2U19lSmdmVnR5R0dhT0U4S1RHR1JWZDlvTXd1MnU1TlNyZlRuYXVpS0cxY1pjckNaQU1URE9IV2kzZm96d2dYRWVUczBrYV9HUklmVDJNOElaTEVNMUHSAYoBQVVfeXFMTkttd0EzSUNJUnR5ak5UYWNfZWhpVHlrZFMxQ095TTVOb2JTX2RLSTZQV2dDNktvbTktR1B4bDBtRlpxUlJhck9mTGgzVDBzMXpTaXR6aEZ2VndnRElvaFNNcGE4VmtwTjdVcXVjYkU2SnlaUGZDSXRRUjZxb3RJSHFFcTZCVWpiaWJB?hl=en-US&gl=US&ceid=US%3Aen,3 days ago,Yahoo Finance,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://finance.yahoo.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
"Trump's Stargate AI project backed by OpenAI, Oracle, and SoftBank is taking shape: Here's what we know",https://news.google.com/read/CBMi3AFBVV95cUxQYlRTZ2ZKTTMybHo0NkxQTHJoZTRPdUVxd1ZfTFNTZlpabWxKb2xxVkk4SUxMTUdvWHFYRWVPN0hhdEI1Uk1UaHFGa0dLcW96YXZMTmxBbkNZZkhycGh5MElZeVFXSHl6dmhVVjdOOXlwX2tBZEQyWEpsMUpvUjZqX1JNYy1qdmpwUnFQanBSRVowMks5VXFPQVplZXVpVWVRbm0yOXhsTlZKSlZQLTd3NjF3alF6YUtTSDJSdVp3VUpUbUdFTU5PUF9fWk5TR05RVDF3c1lTeWotcmRm?hl=en-US&gl=US&ceid=US%3Aen,16 hours ago,The New York Times,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.nytimes.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
"Trump Announces $100 Billion Stargate A.I. Initiative With OpenAI, Oracle and SoftBank",https://news.google.com/read/CBMinAFBVV95cUxOUFlLYjE5VkkyR0F4Vl9JYVVtSDl0Vk5hcHVLZ2h2bUgweE00NFplTFhDLWFBNDNpRlN0OXJiQ1JjSFNadmU2Z1BDaVpPMlYtTnBpS2VnQmR5dE9GZFB1c3hQR0NoNUo3ekpFTmFIWjI4TjdjV1ZrbDJ5LURaZ2s1UDhZSkd4cndaQ2pRRENscjNJc2JXZGZyazRmdDU?hl=en-US&gl=US&ceid=US%3Aen,3 days ago,The Associated Press,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://apnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Trump highlights partnership investing $500 billion in AI,https://news.google.com/read/CBMirwFBVV95cUxQMGdhbGYzOVNwZkYxRy1yUGl2Q3U2Sm9reFE3eXJIem51cEtMYTl5eklzVXVJYjNWVnd5eVVHZ19fXy0xTE1VNUxwQ2V6ZVNDTW53QUZGdGJ0Y29LQkt5ZnlaRl9VX0U5ZWljX3FJVHpIbTBsNUVKNzU1OF9xVmJkUEpIcUd3TjJEX1BZd0I1UzRhWWtSRXdTelV6LU5SUFZoREVoN2JwOFQ1NWI1LXNn?hl=en-US&gl=US&ceid=US%3Aen,2 days ago,FedScoop,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://fedscoop.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
